Total protein by cell line	HCC1806	MCF10A	HCC38	BT549	HS578T	MDAMB231	SKBR3	MCF7	HCC70	BT20
PIEZO1	-0.31405	1.6554	-0.36287	-1.2294	-0.41509	-0.61656	-1.2332	1.1559	0.37683	0.98305
OPA3	-0.60888	2.1466	0.26793	-0.40909	-0.49888	-0.89562	-0.73295	0.19843	-0.73696	1.2694
ITGA2	-1.4688	1.7577	0.124	-1.3484	-0.13421	0.48845	-0.86835	0.11649	0.6076	0.72545
TMOD3	-1.46	1.6578	-0.43466	-1.2825	0.11509	0.18809	-0.86709	0.63524	0.59343	0.85463
GNPTAB	-0.62435	0.76055	1.1798	-1.5601	0.64424	-0.66927	-1.1387	0.49786	-0.37704	1.287
TMED2	-0.39144	0.66155	1.551	-1.834	0.65419	-0.67598	-0.79926	0.59463	-0.48614	0.72547
MANEAL	-0.043307	0.99456	0.58348	-1.4279	0.94291	-0.37352	-1.6036	0.68561	-0.75377	0.99556
SAMD1	-0.15349	1.1813	1.1061	-1.4754	0.48554	-0.72558	-1.2989	0.73467	-0.69555	0.84128
SEC11A	0.33897	1.5913	0.70845	-1.1023	0.012147	-0.51993	-1.7781	0.97082	-0.45487	0.23351
SPCS2	0.086337	1.6724	0.89357	-1.7479	0.38037	-0.80078	-0.80734	0.58963	-0.64357	0.37724
SCPEP1	0.1756	1.4971	1.0655	-1.5208	-0.36013	-1.2134	-0.99996	0.65519	0.31161	0.3893
ZC3H18	0.39527	0.83962	1.5737	-1.1645	0.009858	-1.3953	-1.3278	0.12005	0.21831	0.73086
PRPF38B	-0.76093	1.5026	1.6628	-1.2034	-0.23755	-0.71135	-0.62282	-0.53216	0.058301	0.84447
USP54	-0.90318	1.5634	1.1693	-1.2389	-0.51818	-0.4474	-0.60051	-0.30094	-0.10452	1.3809
RAB13	-1.3464	1.2455	1.6798	-1.0989	0.18108	-0.90081	-0.36352	-0.35951	0.61817	0.34454
ABLIM3	-0.22018	2.2845	-0.55974	-0.81631	0.98061	0.63624	-0.55933	-0.44996	-0.52172	-0.77407
HSPG2	0.37623	1.9681	-0.48996	-0.95898	1.3671	0.34225	-0.7961	-0.7429	-0.32607	-0.73969
HNRNPH1	0.50602	2.2441	0.12178	-0.56254	0.77382	0.12816	-0.6685	-0.79918	-0.59307	-1.1506
SELK	0.77526	1.6899	0.061921	-0.38588	1.3259	0.16892	-0.98412	-1.2165	-0.46721	-0.96814
CHST14	0.83856	1.4895	-0.49026	-1.4248	1.3294	0.59403	-0.52367	-0.966	-0.67025	-0.17653
PLEC	1.2289	1.6581	-0.44254	-0.93473	0.36856	0.9052	-1.1886	-1.0654	-0.14667	-0.38278
PLEC	1.1688	2.0457	-0.44141	-0.7023	0.2293	0.089502	-1.3998	-0.75448	-0.38609	0.15074
RMDN2	0.39204	1.7439	-0.17803	-1.1552	0.55314	0.7283	-1.8527	-0.04956	0.18392	-0.36585
SPTAN1	0.19173	1.5038	-0.17174	-1.9316	0.89754	1.0175	-0.87598	-0.18646	0.093447	-0.53824
SPTBN1	0.28323	1.3284	-0.38747	-1.5075	1.1852	1.1519	-1.2685	-0.24174	0.032849	-0.57649
ULBP2	0.17483	1.4414	-0.3835	-1.4406	0.70199	1.188	-1.4872	-0.040303	0.44223	-0.59686
SPTBN1	0.14644	1.3185	-0.18323	-2.1586	1.2934	0.36111	-0.7801	0.084467	0.20881	-0.2908
ARSI	-0.66972	0.82988	0.59018	-0.36263	2.1993	-0.20691	-1.2091	0.082147	-0.97955	-0.27361
USE1	-0.22892	1.3409	0.17598	-0.62206	2.0487	-0.12269	-1.1708	-0.027491	-0.99417	-0.39948
JAM3	-0.40051	1.0664	-0.23308	-0.4296	2.4592	-0.24646	-0.69877	-0.54949	-0.70373	-0.26394
TENM3	-0.58325	1.1556	-0.6093	-0.4677	2.383	-0.23529	-0.61592	0.074988	-0.61364	-0.48853
COL8A1	-0.76925	1.47	-0.52671	0.12296	1.8906	0.57512	-0.73149	-0.46536	-0.59261	-0.9732
MSRB3	-0.86536	1.4881	-0.21192	0.30817	1.902	0.22172	-1.0155	-0.83991	-0.54931	-0.43789
PDLIM7	-0.86952	1.1887	-0.44226	0.13606	1.9188	0.60829	-1.3755	-0.45533	-0.68181	-0.027407
EPS8	-0.83438	1.1767	-0.34836	0.24202	2.0332	-0.17466	-1.4515	-0.67665	0.08593	-0.052279
LMO7	-0.20564	1.2998	-0.75329	-0.58694	2.0551	0.1859	-1.2918	-0.62709	0.091095	-0.1672
SORBS1	-0.46905	1.5158	-0.69797	-0.9122	1.721	0.42251	-1.0363	-0.45141	0.56242	-0.65473
SORBS2	-0.7265	1.3812	-0.67862	-0.5579	1.9981	0.53134	-0.83313	-0.75707	0.12717	-0.48453
COL7A1	-0.20957	1.5636	0.057766	-0.16845	1.6741	0.38015	-0.56443	-0.21711	-1.2333	-1.2828
TMEM259	-0.038595	1.5026	-0.0043808	-0.079068	1.6512	0.51395	-1.1464	-0.56703	-1.3795	-0.45277
ZBTB38	0.13588	1.3963	0.042399	-0.58861	1.6322	0.8948	-0.97315	-0.68332	-1.1302	-0.72632
SMPD1	-0.64486	1.3098	-0.1286	-0.87172	1.8213	1.007	-0.66457	-0.35734	-0.96959	-0.50144
STIM2	-0.54791	1.5981	0.34668	0.28246	1.3281	0.67558	-1.2333	-1.0779	-0.91171	-0.46004
PNPLA6	-0.20381	1.3135	-0.23568	-0.2716	1.4465	1.2462	-1.567	-0.51834	-0.63998	-0.56981
SFXN3	0.24427	1.405	-0.52189	-0.4156	1.1614	1.1795	-1.4832	-0.15215	-0.18249	-1.2348
THBS1	0.7222	1.1338	-0.0104	-0.48097	1.1002	1.1855	-1.4641	-0.19826	-1.2998	-0.68818
TIMP3	0.20609	0.79893	-0.15969	-0.86357	1.6704	1.1187	-1.2729	0.3516	-0.76312	-1.0863
FADS3	-0.25807	1.5542	-0.54677	-1.2425	1.0653	1.1888	-1.024	0.52043	-0.72123	-0.53608
HTRA1	-0.53562	2.0412	-0.42745	-0.77702	1.2356	0.45626	-0.46908	0.30999	-1.0349	-0.79893
APOBEC3C	0.90948	0.54992	0.35648	-1.3013	1.5311	0.32753	-1.2235	-1.2479	-0.47015	0.56838
FAM69A	0.31841	0.73164	-0.097786	-1.4657	1.8932	-0.078791	-0.8184	-0.95141	-0.44764	0.91648
NFIC	0.39291	0.42289	0.33414	-0.42767	1.4423	0.086755	-2.0171	-1.078	-0.16884	1.0125
RBMS3	0.17468	0.57926	0.20291	-0.19667	1.4214	0.51829	-1.8885	-1.4539	-0.11386	0.75636
SPTBN4	-0.24272	1.134	0.021883	-0.90765	1.4132	0.24096	-1.5766	-0.90289	-0.34462	1.1645
SLC6A6	-0.078687	0.43966	0.4774	0.12195	1.3893	0.098308	-2.0145	-0.60199	-0.96055	1.1291
PHLDB1	-0.040927	0.037123	0.39011	-0.77729	1.5407	0.15187	-1.0648	-1.1648	-0.74484	1.6728
INO80E	0.0065539	0.64357	0.81562	-1.3423	1.4333	1.0913	-1.4601	-0.49093	-0.70746	0.010441
SEMA7A	0.20884	0.32822	0.037987	-1.3346	1.9583	1.194	-0.76156	-0.68622	-0.86502	-0.079912
CDH13	0.46703	1.595	-0.21894	-0.40752	1.9298	-0.65276	-0.64862	-0.70725	-0.55104	-0.80569
FOXC2	0.99446	0.99637	0.24825	-0.76843	1.9676	-0.76843	-0.76843	-0.76843	-0.3645	-0.76843
RPL15	0.66591	0.73739	0.48018	-0.64284	2.0511	-0.76083	-0.69684	-0.78456	-1.2071	0.15759
RPL18A	0.91788	0.34487	0.816	-0.55925	1.8949	-0.34624	-0.50375	-1.5017	-0.90279	-0.15995
RPS18	0.49692	0.78188	0.13206	0.019123	1.717	-0.21194	0.0068672	-1.533	-1.65	0.24109
RPL19	-0.13239	0.39004	0.37306	-0.98658	2.1392	-0.16484	0.38687	-1.2124	-1.1648	0.37178
TUBGCP5	-0.60041	-0.22587	0.1022	-0.42811	2.5398	0.22609	0.010803	-0.59747	-1.2237	0.1967
ASXL2	0.48152	0.35443	-0.78132	-0.96683	1.9403	1.1184	0.18876	-0.44358	-1.1195	-0.77218
SUV39H1	1.0583	0.64674	-1.3148	-0.37654	1.5341	0.95213	0.016751	-0.47517	-0.91795	-1.1236
GOLGA2	1.1288	0.0051737	-0.96145	-0.31831	1.5957	1.4238	-0.86524	-0.52293	-0.71718	-0.76832
MICAL2	0.70434	-0.19926	-0.4453	-0.35145	1.9451	1.3593	-0.33471	-0.81683	-0.92799	-0.93319
LRP5	0.65774	-0.1587	-0.43251	-0.50363	1.1022	1.1221	-0.36038	0.726	-2.2282	0.075368
MAML1	0.86514	-0.47171	-0.52271	-1.1279	1.5442	0.59334	-0.34255	0.96052	-1.6393	0.14088
NCOR1	1.3599	0.37841	-0.71242	-0.41742	1.3699	0.62625	-1.1184	-0.33597	-1.583	0.43279
AUP1	1.1864	1.3343	0.20707	-0.59755	0.59431	0.39704	0.3988	-0.60183	-1.705	-1.2136
CHMP6	0.25989	1.3584	0.2625	-0.39986	0.40754	0.99082	0.36742	-0.22333	-2.2029	-0.82046
ZNF512	0.81258	0.9586	-0.52442	-0.18309	0.61561	0.91682	0.40171	-0.018798	-2.2938	-0.68522
SECISBP2L	0.89654	1.1407	-0.57483	-0.93384	0.79746	1.0667	0.45858	-0.6766	-1.7529	-0.42178
C19orf25	-0.053989	1.9544	0.38147	-0.748	0.7697	0.13747	0.21036	0.0085994	-1.7033	-0.95672
KDM4B	-0.59177	0.62957	-0.72923	-0.25348	0.74801	1.4673	0.18162	0.89789	-1.9949	-0.3551
PPP1R9A	-0.51184	0.95044	0.33251	-0.95055	1.1821	0.63485	-0.14395	0.5443	-2.1649	0.12702
PPP1R9B	-0.37261	1.3523	0.10659	-0.68317	1.0527	0.72114	-0.42892	0.3498	-2.1488	0.05097
GPR108	-0.17148	0.74548	-0.2846	-1.5853	0.39385	1.7879	0.67247	0.19745	-1.345	-0.41087
SP2	0.65747	0.3472	-0.23665	-1.6864	0.7991	1.0094	0.46311	0.94563	-1.4129	-0.88596
SLC9A3R2	0.25895	-0.075776	-0.36893	-2.0499	1.2091	1.1979	0.90044	0.21842	-0.6176	-0.6725
TPRA1	0.27206	0.14285	-1.4678	-1.3301	1.0849	1.3386	1.0526	0.21681	-0.66341	-0.64647
ACTN4	-1.9815	0.64547	-0.92989	0.17692	1.0028	0.31022	-0.64477	-0.37409	0.40099	1.3939
SIPA1L3	-1.9624	0.21895	-1.1845	0.44234	0.70926	0.93171	-0.71553	0.18525	0.12207	1.2529
ARL6IP5	-1.8534	1.3452	-1.1898	0.072632	-0.00037221	0.59002	-0.5469	0.16864	0.13293	1.2811
GNB1	-2.0625	1.2411	-0.61485	0.3456	0.31667	0.56889	-0.60058	-0.16316	-0.36041	1.3293
FOXRED1	-1.2471	1.2871	-1.011	-0.023261	-0.18848	1.1009	-0.19677	-1.1844	0.022047	1.4408
TK2	-1.0523	1.4732	-0.98004	0.1343	0.28016	0.37971	-0.93917	-1.0745	0.21733	1.5612
MT2A	-1.4106	0.89671	-0.57269	-0.019606	0.76842	0.5054	-0.5864	-1.0422	-0.39531	1.8562
ESYT2	-1.7078	0.66661	-1.2091	-0.048791	-0.7002	0.67857	-0.13805	0.0043864	0.91636	1.538
SRGAP2	-1.5049	0.95951	-1.0625	0.8924	-1.0022	0.67552	0.023811	-0.80616	0.67347	1.151
MTCH1	-1.1162	0.91297	-1.5437	0.10776	-0.27932	1.4547	-0.80157	-0.39873	0.56228	1.1018
MBNL2	-0.91985	0.18461	-1.1146	-0.015349	-0.41787	0.75165	0.36856	-1.1338	0.12866	2.1679
CPEB4	-1.8877	0.36737	-1.3817	-0.22263	0.31122	0.80347	0.74949	-0.58141	0.96707	0.87488
DTYMK	-2.2977	-0.25868	-0.68445	0.77327	-0.073896	0.42712	0.61852	-0.19961	0.32833	1.3671
SUMF2	-1.6427	-0.421	-0.96961	0.29134	-0.14306	0.47448	0.45989	-0.82887	1.1751	1.6045
DUT	-2.1184	-0.059262	0.15622	-0.74939	0.19053	-0.036281	0.34992	-0.4134	1.3211	1.3589
HNRNPUL1	-2.2827	-0.13026	-0.26596	-0.69184	0.81002	0.1505	0.51904	-0.17616	0.80254	1.2648
GNAQ	-2.1597	0.82782	-1.0542	0.052072	-0.096404	-0.29064	0.61477	0.23067	0.58245	1.2931
UGGT1	-2.4999	0.93035	0.034556	-0.44831	-0.21924	-0.067624	0.36549	0.54986	0.30558	1.0492
KCNN4	-1.7055	1.4574	-0.35086	-1.1021	0.53148	0.66125	0.33155	-0.93254	0.95154	0.15782
LDLRAP1	-0.99471	1.4396	-1.5425	-0.34316	0.28055	0.609	0.47937	-0.97483	1.3182	-0.27148
NFIB	-1.9787	0.61501	-0.2267	0.52384	0.72698	-1.3045	0.27972	-0.34284	1.3522	0.35508
SEP15	-2.2097	1.4569	-0.050091	-0.13349	0.48696	-0.078925	-0.49628	-0.0056071	1.2057	-0.17546
ATG2B	-0.41202	-0.097535	-0.49247	0.88226	0.72747	0.70996	-0.11542	1.4089	-2.1299	-0.48121
NUDT12	-0.902	0.28684	-0.75562	0.43561	1.1314	0.46355	0.29481	1.4134	-1.8768	-0.49122
POMGNT2	0.31068	0.05067	-0.92264	0.6178	0.45035	0.7226	-0.58528	1.3508	-2.1777	0.18277
R3HCC1	-0.34612	0.13153	-0.26108	0.27155	0.90249	-0.20025	-0.38982	1.6963	-2.1689	0.36437
SUGP2	-0.71094	0.72328	-1.431	1.0248	1.17	0.22066	-0.060768	0.31617	-1.7593	0.50716
TMEM160	-0.51774	1.5437	-1.2885	0.18159	1.1627	-0.55595	0.54856	0.22297	-1.598	0.30073
ATP5SL	-1.799	1.4992	-0.83579	0.5486	0.256	1.3993	-0.35559	-0.30586	-0.51176	0.10493
FAM208A	-2.0478	1.7574	-0.35206	0.58026	0.1526	0.52478	-0.10064	-0.49534	-0.60256	0.58338
COMMD3-BMI1	-1.4652	1.4339	-0.86055	0.14762	1.0654	0.3986	-0.35116	0.90462	-1.3396	0.06628
RBM15B	-1.6438	1.7716	-0.75598	-0.4186	0.67313	0.66743	0.072807	0.61517	-1.0603	0.078501
MBTPS2	-1.6157	1.6541	0.087381	0.19862	0.52452	0.96467	-1.0008	0.3839	-1.1159	-0.080851
LACTB	-1.4713	0.94951	-0.60674	-0.36635	0.32998	1.93	-0.53152	0.094529	-0.95535	0.62724
PTPRM	-1.0633	1.5678	-0.5536	-0.815	0.78633	1.6908	-0.6406	-0.35164	-0.6545	0.033762
BET1L	-2.0251	0.64549	-1.074	0.51707	0.14828	1.0385	1.0578	0.15642	-0.82802	0.36342
CD81	-1.6688	0.45978	-0.9558	0.69889	0.52765	1.1712	0.95897	0.26384	-1.3997	-0.055932
TEX264	-1.7997	0.66697	-0.76593	0.5693	0.16241	1.4549	0.82962	0.47826	-0.98762	-0.60819
DHRSX	-1.3873	1.2422	-1.0621	0.00072209	0.07275	0.88369	0.96811	0.79419	-1.4294	-0.082836
PDE12	-1.5789	0.52845	-0.01021	-0.13207	0.97377	1.0167	0.60796	0.079613	-1.9151	0.42983
PTDSS2	-1.4501	0.63947	-0.64879	0.60575	0.14755	1.7789	0.54501	-0.41935	-1.4126	0.21422
RBM3	-1.6504	1.1986	-0.095502	0.64478	0.48661	1.1307	0.1181	-0.042141	-1.6954	-0.095465
GNA11	-2.4778	0.88927	-0.24049	0.51279	0.85351	0.8412	0.26578	-0.46651	-0.022204	-0.15558
GNAZ	-2.5058	0.8098	-0.37569	0.31317	0.88279	0.30775	0.19566	-0.24557	-0.26666	0.88452
GNA12	-2.287	0.4555	0.32185	0.62566	1.5032	0.28194	-0.038194	-0.23642	-0.80037	0.1738
GNB2	-2.0903	1.0019	-1.3921	0.03217	0.98776	0.37538	0.59258	0.12682	-0.078605	0.44443
MYO1C	-1.4174	0.79132	-1.6375	0.51678	1.2226	0.41242	0.73531	-0.59939	-0.66436	0.64023
AAAS	0.69276	1.1369	-0.589	0.55226	-0.057865	-0.0656	1.4696	-1.9117	-0.62743	-0.59991
MBIP	0.26878	0.79217	-0.64217	0.49891	0.87271	-0.3061	1.7324	-1.4496	-0.63873	-1.1284
TEAD4	0.11396	0.44321	-0.69132	0.58754	0.93741	-0.25562	1.606	-1.9009	0.068514	-0.90876
MIEF1	0.38043	0.87012	-0.67686	0.94066	-0.022085	-0.27834	1.1286	-2.0487	0.61571	-0.90948
NDC1	0.84864	0.4641	-0.40694	0.50205	0.3147	0.29907	0.84577	-2.5475	0.158	-0.47792
TSPO	0.1301	0.99432	0.058026	0.19585	0.15768	0.089981	0.50257	-2.35	1.1403	-0.91889
TOE1	-0.23493	0.25563	0.21545	0.23937	0.43458	-0.14454	1.4162	-2.5064	0.49828	-0.17362
NDE1	-0.79325	1.2061	0.0036203	1.1648	-0.019921	-0.34658	0.78332	-1.4966	0.85828	-1.3598
CDR2L	-1.013	1.1325	-0.57591	-0.73625	1.0169	0.42627	1.2906	-1.6831	0.28674	-0.14475
CTSZ	-0.28571	1.2331	0.26854	-1.1661	0.44889	0.33742	0.81611	-2.1594	0.56424	-0.057058
TRMU	-0.077417	1.6308	0.54449	-0.91238	0.9393	-0.14514	0.47229	-1.8683	-0.74906	0.16546
DEGS1	-0.49379	0.97437	-0.85033	0.24664	0.023352	1.3629	0.45339	-2.2003	0.25982	0.22396
PTPN14	0.05193	1.1569	-0.41446	-0.54365	1.133	1.4076	-0.15902	-1.9075	-0.35242	-0.37224
PVR	0.0077399	0.67091	-0.57469	0.066972	0.98833	0.89693	0.4836	-2.4119	0.36882	-0.49672
ARHGAP11A	1.4724	0.98602	-0.013177	0.028096	0.17092	-0.3651	0.76248	-2.0859	-0.86979	-0.085902
TIMM17A	0.95005	0.99919	-0.045552	-0.30392	-0.16947	-0.29493	1.3047	-2.0591	-0.85163	0.47062
ATAD3A	1.5497	1.0499	0.28442	0.20131	-0.12006	-0.30058	0.18315	-2.2069	-0.037168	-0.60384
NUP205	1.105	1.3077	0.45727	0.054175	-0.90176	0.22245	0.26901	-2.2074	-0.11791	-0.18855
CENPN	1.2613	0.34628	0.31089	0.60242	-0.13592	-0.28848	-0.11503	-2.5557	0.19115	0.38309
MPP2	1.3592	0.39281	0.27614	0.37737	-0.18479	-0.44918	0.70625	-2.4443	-0.20356	0.1701
MPP6	1.3075	0.54738	-0.19817	0.49873	-0.37092	-0.47741	1.0582	-2.2807	-0.1207	0.036116
TFCP2	0.51808	0.44009	0.95559	0.40511	-0.033315	-0.73815	0.91785	-2.4337	-0.28841	0.25689
CCT2	0.69228	0.35909	1.4254	0.37868	0.34367	-0.29148	0.35487	-1.79	-1.6304	0.15797
CCT8	0.76597	0.017445	1.1148	0.47203	-0.070261	0.098573	0.42188	-2.2107	-1.2218	0.61212
CCT3	0.96722	0.20196	0.48798	0.48019	-0.23789	0.1301	0.84961	-2.313	-1.0734	0.50728
CCT6A	0.91314	0.33957	0.45899	0.30664	-0.1143	0.06431	1.0202	-2.4328	-0.83246	0.27667
CCT7	1.1659	-0.030434	0.38543	0.45453	-0.2459	0.24626	1.0626	-2.1289	-1.1924	0.283
CCT4	1.0384	-0.075853	0.91824	0.53297	-0.41528	0.09338	0.89349	-2.1501	-1.0647	0.22944
CCT5	1.2232	-0.49052	0.54973	0.64487	-0.21962	0.16794	0.94613	-2.2272	-0.76428	0.16978
TCP1	1.178	-0.12103	-0.11797	0.68204	-0.23941	0.20081	1.0951	-2.3077	-0.64749	0.27771
CHAF1B	0.94416	-0.011963	0.41899	0.73038	-0.0023119	0.66339	0.48144	-2.2823	-1.2041	0.26233
KLF16	1.2909	-0.22377	0.27034	1.2701	-0.44353	-0.087618	0.64453	-2.1605	-0.55648	-0.0040827
CYTH3	1.4127	-0.53765	-0.29142	-0.55803	0.53873	0.21743	1.1282	-1.8954	-0.75424	0.73976
ZNF106	1.8908	-0.22445	-0.241	-0.46275	0.12071	-0.22654	1.3239	-1.7859	-0.28792	-0.1068
NUP35	1.5394	0.17537	-0.54157	0.61823	-0.81	-0.09097	1.2782	-1.8146	-0.5445	0.19039
POLR2L	1.4307	0.056359	-0.12447	0.15701	-1.1111	0.060193	1.5343	-1.6393	-0.71296	0.34924
TWISTNB	1.5948	0.28872	0.078189	-0.30347	-0.70128	-0.44409	1.5805	-1.6214	-0.653	0.18101
PIAS1	1.0737	0.24986	-1.31	0.13603	-0.31922	0.51581	1.2953	-1.7764	-0.58056	0.71552
RPS13	1.0575	-0.60772	-0.66176	0.18226	0.14214	0.037581	1.9275	-1.3813	-1.1077	0.41149
ZC3HC1	1.0068	0.25225	-0.25577	0.052586	-0.044039	0.25265	1.6248	-2.0111	-1.0386	0.16041
AURKA	0.16171	-0.72736	0.51956	0.83925	-0.18842	0.30135	0.60336	-1.4532	-1.588	1.5318
QSER1	-0.24301	-0.066046	0.4246	-0.019101	0.3895	0.22219	0.23291	-1.7619	-1.1801	2.0009
WEE1	0.43765	-0.61689	-0.25458	-0.38953	-0.34067	0.58449	1.0225	-1.3629	-1.0279	1.9478
CD40	0.97074	-0.094948	-0.43949	-0.77472	-1.1201	1.5995	0.34797	-1.3083	-0.38838	1.2077
G3BP2	0.70068	-0.77332	0.59776	0.081014	-1.1508	0.63798	0.28447	-1.7668	-0.21337	1.6024
WDR76	1.4568	-0.18618	0.067535	-0.16167	-0.74722	0.23701	0.30286	-2.1387	-0.066349	1.2359
ACOT2	-1.112	0.78571	-0.032105	2.0735	-0.41234	-0.28754	0.91529	-0.46741	-1.2145	-0.24859
GLDC	-0.71516	0.42599	-0.33006	1.7966	-0.52551	-0.46824	1.7648	-0.41887	-0.85239	-0.67715
FBLN2	-1.0046	-0.36243	-0.2263	2.3592	-0.28767	-0.35069	1.1971	-0.38224	-0.38911	-0.55326
ANKRD10	-0.37605	-0.36626	0.3724	2.1823	0.28671	-1.0205	1.0593	-0.89668	-0.58016	-0.66104
CSPP1	-0.091191	-0.35806	0.38904	2.2664	0.51563	-0.23978	0.45717	-1.1488	-0.64931	-1.1411
SAC3D1	0.089606	-0.96444	0.18139	2.1893	0.033148	-0.060896	1.0386	-0.8458	-0.66077	-1.0001
ERICH1	0.63936	-0.71239	-0.17899	1.8956	0.58185	-0.31468	0.82137	-0.57113	-0.49512	-1.6658
DCUN1D5	0.031254	0.58144	0.22104	1.7651	-0.58627	0.053289	1.1927	-0.87111	-0.95028	-1.4372
UBE3D	0.34516	0.29024	0.15949	2.1436	-0.42088	-0.11226	0.52957	-0.66506	-0.54848	-1.7213
GAS2L3	-0.15251	0.25913	0.151	1.8415	0.60829	-0.10473	0.82053	-0.85561	-0.82924	-1.7383
ESCO2	-0.18673	0.10746	-0.42409	1.7138	0.52546	0.57877	1.0235	-0.80381	-1.6673	-0.86712
WRN	-0.38655	-0.23275	-0.43698	1.862	1.0007	-0.31033	1.2177	-0.65405	-1.0963	-0.96344
SMIM19	0.070965	-0.03903	-0.057988	2.0963	0.21231	-0.27038	0.77523	-0.10792	-1.7106	-0.96893
C9orf85	-0.63005	0.13573	0.35332	1.211	-0.31992	-0.64201	2.1515	-0.78354	-0.46741	-1.0086
TMEM70	-0.24634	0.017916	0.044422	0.97556	0.055389	-0.53031	2.2663	-1.3302	-0.55278	-0.69998
TBC1D31	0.18608	0.3181	-0.084922	1.4321	0.0035472	-0.15944	1.671	-1.2825	-0.74855	-1.3354
CBLL1	0.55799	0.98376	-0.09123	0.96253	-0.48254	-0.59426	1.704	-0.95481	-1.367	-0.71848
TIMM21	-0.36881	1.5934	-0.048329	0.8464	-0.40871	-0.39732	1.5292	-1.449	-0.68397	-0.61281
CIZ1	-0.19484	0.17338	-0.975	0.21861	0.62778	0.019071	1.6979	0.57864	-2.0777	-0.067791
ZNF346	-0.27029	0.48169	-1.2477	0.75291	0.46146	0.24369	1.145	0.76248	-2.0849	-0.24438
DHX30	-0.93956	0.81413	-0.36826	0.99862	0.1907	1.0634	1.1319	-0.70273	-1.796	-0.39213
KAT6A	-0.42945	0.5069	-0.44014	0.65766	0.26118	1.0265	1.6652	-0.76725	-1.6716	-0.80908
WDR48	-0.59188	0.19053	-0.89662	0.26975	1.063	0.80646	1.6706	-0.36152	-1.6764	-0.47385
CPS1	-0.63785	0.26211	0.16818	-0.75103	0.5165	-0.57389	2.5423	-0.38905	-0.76207	-0.37517
FBXL20	-0.43578	0.80162	0.17511	-0.57277	-0.15776	-0.32609	2.3255	-0.72208	-1.3043	0.21653
GPATCH4	0.25019	0.76673	0.44352	-0.32329	0.41582	-0.54193	1.9233	-0.80161	-1.7613	-0.37143
IL12RB2	-0.7162	1.2942	0.61866	0.22745	-0.77153	0.68485	1.559	-0.81459	-1.2025	-0.87931
TGFBR1	-0.81992	0.69462	0.67612	0.23774	-0.50513	0.69315	1.77	-0.56293	-1.709	-0.47465
POLR1A	-0.46443	1.5064	-0.0026799	0.047943	-0.34369	0.20005	1.8191	-0.63647	-1.499	-0.62724
ZNRD1	-0.14673	1.6608	0.14909	0.3758	-0.86896	0.49645	1.2461	-0.76917	-1.6257	-0.51769
SCML2	-0.93089	0.51741	0.3218	0.58308	-0.015399	0.18951	1.7357	-0.17679	-2.0787	-0.14576
SCO2	-1.2274	1.8769	0.49014	0.46618	0.0060744	-0.56406	1.0566	-0.5641	-1.3059	-0.23445
DNAJC30	-0.80213	0.62575	-1.1213	0.14341	1.2525	-0.50207	1.9578	-0.14524	-0.80419	-0.60452
UBP1	-0.51033	0.31818	-0.14204	0.19743	1.4046	-0.56649	1.9552	-0.75534	-1.1567	-0.74449
MTMR10	-0.27539	0.29161	-1.0963	0.17604	2.1504	-0.49441	1.1872	-0.7594	-0.75639	-0.4234
FAM172A	-0.59495	1.1637	-1.6311	0.14409	1.602	-0.69452	0.3471	0.8479	-0.48909	-0.69514
PBX1	-0.18745	0.50137	-1.5488	-0.10807	1.9145	-0.5981	1.0454	0.33903	-0.40444	-0.95342
KRTCAP2	0.53512	0.89996	-2.3112	0.42918	0.79108	-0.21562	0.71492	-0.87129	0.48027	-0.45241
PPP1CB	0.42939	0.38923	-2.3922	-0.2775	1.1886	0.20138	0.97361	-0.66609	0.13942	0.014182
LPIN1	-0.31742	0.671	-1.7648	-0.093397	1.3702	0.49002	0.64821	-1.6105	0.23199	0.37468
STEAP3	0.14203	1.0544	-1.507	0.30411	1.148	0.35687	1.031	-1.5689	-0.28787	-0.67249
SRPR	-0.24501	0.84335	-1.868	-0.4578	0.66577	0.93608	1.2664	-1.0925	-0.47785	0.42949
TMEM62	-0.1616	1.0837	-1.5338	-0.87051	0.72563	-0.13043	1.6506	-1.0147	-0.29879	0.54986
AASS	1.0437	1.3534	-0.35309	-0.42994	-0.035662	1.6317	-1.1064	-0.90815	-1.0116	-0.18396
RBM6	0.67564	1.5945	0.25319	-0.082164	0.13149	1.3177	-1.1742	-1.012	-1.2531	-0.45117
ADRB2	1.2928	1.2768	-0.38533	0.24881	-0.52915	1.509	-0.77289	-0.94676	-0.80505	-0.88828
IFI27L2	0.6358	1.2466	0.2109	0.52137	-0.45298	1.6768	-0.83396	-1.0432	-1.0059	-0.95546
LYAR	0.68529	1.7062	0.376	0.0058988	-0.77056	1.4048	-0.90723	-0.79121	-0.88009	-0.82902
HMHA1	0.82987	1.1417	-0.39423	-0.1706	-0.26433	1.8547	-1.093	-0.99962	0.14383	-1.0483
SLC37A2	0.72077	1.2626	-0.050449	-0.50762	-0.065775	1.9548	-0.96114	-0.73874	-0.68897	-0.92545
CPNE8	0.59646	1.6236	0.17604	-0.81757	-0.87732	1.2709	-0.62422	-1.1967	-0.81403	0.66278
FMNL1	0.45182	1.5799	0.43472	-0.89498	-0.75553	1.6347	-1.2348	-0.52415	-0.46384	-0.22789
