cell_line	small_molecule	GR50	GRmax	GR_AUC	EC50	GRinf	Hill	r2	pval
MCF 10A	JNK-9L	0.52131	-0.18031	0.60138	0.59529	-0.15167	1.9966	0.99347	4.263e-05
MCF 10A	JW-7-24-1	6.6242	0.2097	0.14904	13.1509	-1	1.602	0.98214	0.00031894
MCF 10A	KIN001-043	10.0173	0.49805	0.1013	25.2854	-0.99994	1.1865	0.9964	1.2994e-05
MCF 10A	LDN-193189	4.3037	-0.40468	0.22111	6.9162	-1	2.3158	0.99882	1.3913e-06
MCF 10A	Lapatinib	6.6344	0.31497	0.16466	19.1365	-0.99998	1.0371	0.98882	0.00012495
MCF 10A	Linifanib	16.0543	0.72767	0.0081079	10.4497	0.40489	3.8647	0.94596	0.0029202
MCF 10A	Linsitinib	Inf	0.65173	0.18858	1.3595	0.54426	0.52933	0.97925	0.00043052
MCF 10A	MK2206	Inf	0.4267	0.17943	0	0.80168	0.01	-1.5765e-14	0.072881
MCF 10A	Mitoxantrone	0.006055	-0.19859	1.0401	0.011479	-0.20011	0.52632	0.91407	0.0073839
MCF 10A	NU7441	8.7917	0.41318	0.091027	16.9146	-0.99984	1.6787	0.99418	3.3909e-05
MCF 10A	NVP-AEW541	9.8015	0.4783	0.18254	72.1511	-1	0.55034	0.95735	0.0018194
MCF 10A	NVP-AUY922	-Inf	-0.05297	1.0584	0	-0.057682	0.01	-7.3874e-10	1
MCF 10A	NVP-TAE684	1.5302	0.13546	0.41887	24.0739	-1	0.39866	0.97633	0.00056026
MCF 10A	Neratinib	0.034144	0.12782	0.76603	0.023535	0.11569	0.70722	0.99224	6.0142e-05
MCF 10A	Nilotinib	10.0871	0.50788	0.060002	10.1364	-0.0089149	3.6268	0.99645	1.2613e-05
MCF 10A	Nintedanib	Inf	0.91666	0.02341	0	0.97851	0.01	-8.356e-12	0.057
MCF 10A	OSI-027	0.28733	0.14115	0.57685	0.20163	0.13401	0.88091	0.99459	2.9275e-05
MCF 10A	PD0325901	-Inf	0.068299	0.83965	0.0061229	-0.35523	0.10524	0.96553	0.0011883
MCF 10A	PD173074	12.1763	0.64547	0.036346	11.2901	0.11235	3.3679	0.99474	2.7645e-05
MCF 10A	PD184352	0.22573	0.17284	0.59025	0.68185	-0.192	0.29397	0.99563	1.9115e-05
MCF 10A	PF431396	0.12448	-0.16758	0.76561	0.19133	-0.17481	0.69743	0.97313	0.00072202
MCF 10A	PF477736	1.7214	-0.041215	0.37696	4.245	-0.55661	0.82897	0.99944	3.1519e-07
MCF 10A	PF562271	0.73029	-0.20766	0.5425	2.9609	-0.7553	0.65761	0.99969	9.394e-08
MCF 10A	PHA-665752	11.8555	0.62395	0.0608	19.7659	-1	2.1492	0.98155	0.00034054
MCF 10A	PHA-793887	0.0043501	-0.20249	0.91669	1.526	-1	0.18747	0.98946	0.0001111
MCF 10A	PI103	0.31244	0.081333	0.58805	0.27302	0.082598	1.3388	0.99892	1.1704e-06
MCF 10A	PIK-93	9.9192	0.49702	0.096944	9.7584	0.011417	1.4136	0.9999	1.0559e-08
MCF 10A	PLX-4720	16.739	0.88811	0.013677	14.7083	0.22469	4.6138	0.97425	0.00066313
MCF 10A	Palbociclib	3.037	0.4001	0.37863	0.95468	0.18265	0.39284	0.98493	0.0002271
MCF 10A	Pelitinib	0.051368	-0.011411	0.80739	0.046251	0.049353	0.99036	0.94995	0.0025047
MCF 10A	QL-X-138	3.2091	-0.11298	0.27451	8.547	-1	1.1215	0.99003	9.9395e-05
MCF 10A	QL-XII-47	2.5644	-0.14217	0.31914	8.0935	-1	0.95586	0.98527	0.00021708
MCF 10A	R406	25.1435	0.66598	0.11383	172.7669	-0.98512	0.56484	0.99761	5.6898e-06
MCF 10A	Radicicol	0.211	-0.19387	0.72725	0.31124	-0.20595	0.8874	0.99063	8.7776e-05
MCF 10A	Rapamycin	Inf	0.98194	0.0091568	0	0.98884	0.01	-1.7728e-11	1
MCF 10A	Ruxolitinib	51.6722	0.81989	0.047924	213.0355	-0.9787	0.76546	0.94275	0.0032776
MCF 10A	SB590885	13.8444	0.68997	0.051738	20.2071	-0.55779	1.9815	0.98065	0.00037431
MCF 10A	SU11274	8.9129	0.46494	0.15072	37.8442	-0.99346	0.75675	0.9986	1.9494e-06
MCF 10A	Saracatinib	3.5009	0.11061	0.25744	13.3008	-0.99998	0.82303	0.99593	1.6551e-05
MCF 10A	Selumetinib	0.082961	0.17923	0.65679	0.042332	0.14809	0.52204	0.99223	6.0442e-05
MCF 10A	Sigma A6730	12.593	0.60806	0.079569	27.1683	-0.99998	1.4288	0.93819	0.0038205
MCF 10A	Sorafenib	12.8446	0.64826	0.054677	23.0411	-0.93797	1.8078	0.98162	0.00033793
MCF 10A	TG 101348	3.5934	0.059445	0.23557	5.5987	-0.38682	1.2922	0.99723	7.672e-06
MCF 10A	TGX221	Inf	0.65835	0.097412	0	0.91148	0.01	-1.8778e-12	0.36668
MCF 10A	TWS119	5.2212	0.051437	0.1025	5.1882	0.015559	4.9907	0.99841	2.5196e-06
MCF 10A	Torin1	0.045282	0.086162	0.77749	0.034775	0.11745	1.0141	0.9835	0.00027225
MCF 10A	Torin2	0.0095334	0.027316	0.91043	0.0086218	0.044019	0.91693	0.94379	0.0031599
MCF 10A	Tozasertib	0.033273	0.058949	0.86503	0.030343	0.089505	2.1397	0.98126	0.00035102
MCF 10A	Trametinib	-Inf	0.20902	0.80196	0	0.19792	0.01	-4.9427e-13	1
MCF 10A	Vemurafenib	8.9318	0.46117	0.11091	8.9381	-0.00048159	1.3742	0.99913	7.5997e-07
MCF 10A	WH-4-025	1.2027	0.21506	0.37543	0.83079	0.17695	1.1808	0.99435	3.195e-05
MCF 10A	WYE-125132	0.04042	0.13929	0.76995	0.029176	0.14994	1.0936	0.98959	0.00010837
MCF 10A	WZ-4-145	4.2956	0.052655	0.23382	11.6367	-1	1.1024	0.96792	0.0010291
MCF 10A	WZ3105	0.04523	-0.27567	1.0525	0.070045	-0.28757	1.0388	0.99651	1.2183e-05
MCF 10A	Withaferin A	0.57746	-0.25654	0.61513	0.64283	-0.23529	3.5962	0.99939	3.6858e-07
MCF 10A	XL147	12.7308	0.59125	0.085687	33.1438	-0.99998	1.1482	0.97839	0.00046707
MCF 10A	XMD11-50	2.1634	0.12302	0.32703	3.3513	-0.22433	0.84689	0.99997	7.6303e-10
MCF 10A	XMD11-85h	19.6347	0.74901	0.054126	46.7091	-0.99566	1.2643	0.95253	0.0022533
MCF 10A	XMD16-144	0.098787	-0.02444	0.75221	0.089527	0.066176	1.4425	0.96623	0.0011404
MCF 10A	Y39983	7.2212	0.35128	0.1847	25.8627	-1	0.86113	0.89198	0.011668
MCF 10A	YM 201636	6.0844	0.2962	0.17259	19.9817	-1	0.92391	0.98433	0.00024552
MCF 10A	ZSTK474	0.97882	0.17416	0.42777	0.79038	0.084609	0.86697	0.99883	1.3743e-06
MCF7	(R)- Roscovitine	4.6944	-0.089265	0.19889	9.1348	-1	1.6503	0.97492	0.00062877
MCF7	A443654	-Inf	-0.36103	1.2282	0.0054813	-0.35977	0.53784	0.9668	0.0011024
MCF7	AT-7519	0.065313	-0.39836	1.1212	0.085131	-0.34301	1.9712	0.9952	2.3043e-05
MCF7	AZD 5438	0.10039	-0.43106	0.95022	0.18465	-0.39344	0.95259	0.97771	0.00049669
MCF7	AZD-6482	5.0439	0.090551	0.174	11.1074	-0.95713	1.3549	0.99412	3.4552e-05
MCF7	AZD7762	-Inf	-0.27189	0.96877	0.83887	-1	0.18844	0.97929	0.00042897
MCF7	AZD8055	-Inf	-0.18817	1.023	0	-0.031985	0.01	-3.304e-13	0.14737
MCF7	AZD8330	-Inf	0.40038	0.62636	0	0.37702	0.01	-5.9952e-15	1
MCF7	Afatinib	3.2837	-0.23667	0.33274	7.5588	-1	1.3177	0.87706	0.015114
MCF7	BEZ235	-Inf	0.050032	0.91292	0	0.093838	0.01	-4.4409e-16	0.18017
MCF7	BI-2536	-Inf	-0.18834	0.97319	0	0.014655	0.01	-2.2204e-16	0.12966
MCF7	BMS-387032	0.013947	-0.35321	1.2983	0.018694	-0.33864	1.7653	0.99322	4.6009e-05
MCF7	BMS345541	1.2316	-0.34221	0.44173	1.9713	-0.47022	1.4092	0.99694	9.3846e-06
MCF7	BX-912	1.2868	0.022883	0.43194	8.579	-0.88092	0.53547	0.97234	0.00076527
MCF7	BYL719	0.56439	-0.02771	0.54615	1.641	-0.38708	0.53718	0.98753	0.00015562
MCF7	Barasertib	-Inf	0.11049	0.86994	0	0.13468	0.01	-2.2204e-16	1
MCF7	Brivanib	Inf	0.86022	0.094291	0	0.90173	0.01	-1.4275e-12	1
MCF7	Buparlisib	0.12259	-0.18894	0.86538	0.16991	-0.21998	1.117	0.99844	2.4368e-06
MCF7	CGP60474	0.038234	-0.42455	1.248	0.047106	-0.35979	2.5977	0.98768	0.00015185
MCF7	CHIR-99021	2.8044	0.22438	0.34575	46.5365	-1	0.3911	0.90747	0.0085609
MCF7	CP466722	Inf	0.60865	0.024095	4.6327	0.59959	4.8932	0.92692	0.00534
MCF7	CP724714	Inf	0.51084	0.22358	0	0.75978	0.01	0	0.21627
MCF7	CYT387	2.1173	0.070015	0.34683	6.6761	-0.63328	0.71254	0.99559	1.9455e-05
MCF7	Canertinib	2.4841	-0.3629	0.3586	6.2424	-1	1.1922	0.94289	0.0032613
MCF7	Celastrol	0.45339	-0.18851	0.59302	0.53152	-0.16108	1.7565	0.98276	0.00029711
MCF7	Crizotinib	0.57064	-0.16543	0.57467	4.9953	-1	0.50639	0.98307	0.00028672
MCF7	Dasatinib	0.028421	-0.077595	0.97354	0.030787	-0.057197	1.3546	0.99469	2.8227e-05
MCF7	Dovitinib	1.8462	0.31099	0.36539	1.1048	0.14462	0.66487	0.9927	5.3304e-05
MCF7	Enzastaurin	20.1633	0.76245	0.041545	45.6814	-0.95887	1.3093	0.96088	0.0015307
MCF7	Erlotinib	Inf	0.92738	0.010912	0	0.97333	0.01	-5.107e-15	0.94576
MCF7	Flavopiridol	0.018008	-0.36062	1.3181	0.0228	-0.35475	2.2726	0.99455	2.9704e-05
MCF7	Foretinib	0.14236	-0.22352	0.77863	0.15331	-0.069835	1.7635	0.9489	0.0026108
MCF7	GDC-0941	0.017181	-0.077378	0.9386	0.021385	-0.081398	0.68895	0.9892	0.00011658
MCF7	GDC-0980	-Inf	-0.050261	1.0235	0	-0.012565	0.01	-3.2419e-14	0.28779
MCF7	GSK 690693	0.17501	0.32229	0.55844	0.028303	0.28614	0.46617	0.9934	4.3524e-05
MCF7	GSK1059615	0.51331	-0.19007	0.58789	0.73248	-0.2413	1.1075	0.99816	3.3762e-06
MCF7	GSK1904529A	0.034446	0.33013	0.59713	0.0019797	0.27603	0.28115	0.98257	0.00030385
MCF7	GSK2126458	-Inf	-0.21456	1.052	0.0012939	-0.63468	0.1	0.78442	0.046475
MCF7	GW843682	0.069722	0.041354	0.79926	0.061887	0.090809	1.6815	0.97395	0.00067847
MCF7	Gefitinib	Inf	0.81524	-0.026408	0	1	0.01	-0.02382	0.11182
MCF7	Geldanamycin	0.024718	-0.29405	0.93709	0.065607	-0.29995	0.48143	0.84525	0.023949
MCF7	HG-5-113-01	0.33303	-0.21054	0.65027	0.67853	-0.33645	0.72299	0.98604	0.00019479
MCF7	HG-5-88-01	0.30513	-0.064271	0.60553	9.668	-1	0.3179	0.96758	0.0010508
MCF7	HG-6-64-01	3.9299	-0.34688	0.17574	5.4559	-0.64042	2.5132	0.97873	0.0004524
MCF7	Imatinib	Inf	0.90187	-0.052186	0	1	0.01	-0.40804	0.52087
MCF7	JNK-9L	0.1436	-0.23168	0.86078	0.22615	-0.29886	1.0318	0.97666	0.00054485
MCF7	JW-7-24-1	0.16879	-0.13286	0.68081	5.7939	-1	0.3107	0.97926	0.00043001
MCF7	KIN001-043	5.899	0.23154	0.20999	17.1701	-1	1.0283	0.86875	0.017227
MCF7	LDN-193189	2.593	-0.36525	0.29094	3.7471	-0.55263	2.022	0.99651	1.2148e-05
MCF7	Lapatinib	8.3487	0.33399	0.13824	13.6698	-0.99994	2.2279	0.83275	0.027972
MCF7	Linifanib	6.5719	0.073169	0.12761	10.6811	-1	2.2621	0.99066	8.7181e-05
MCF7	Linsitinib	1.139	0.28399	0.45087	4.1223	-0.259	0.3245	0.95148	0.002354
MCF7	MK2206	0.13077	-0.085686	0.68575	7.8204	-1	0.26854	0.92941	0.0049835
MCF7	Mitoxantrone	-Inf	-0.56467	1.1353	0.15163	-1	0.22591	0.8229	0.031363
MCF7	NU7441	6.7206	0.30015	0.15451	17.2379	-1	1.1663	0.98856	0.00013086
MCF7	NVP-AEW541	0.97707	-0.052414	0.47255	6.1349	-0.77134	0.50796	0.89229	0.011602
MCF7	NVP-AUY922	-Inf	-0.0097564	0.97035	0	0.027621	0.01	-6.6613e-16	1
MCF7	NVP-TAE684	0.049388	-0.18511	0.9738	0.060541	-0.14588	1.2573	0.98549	0.00021067
MCF7	Neratinib	0.67968	0.098743	0.50877	25.3175	-1	0.30368	0.97743	0.00050949
MCF7	Nilotinib	7.2057	0.050294	0.10566	9.105	-0.63353	3.4986	0.99312	4.738e-05
MCF7	Nintedanib	1.5452	0.073981	0.38232	2.5636	-0.23861	0.77074	0.99502	2.4791e-05
MCF7	OSI-027	0.221	0.12811	0.60073	0.16206	0.16348	1.2765	0.9906	8.8434e-05
MCF7	PD0325901	0.28836	0.037687	0.58305	23.156	-1	0.25049	0.92478	0.0056583
MCF7	PD173074	10.3178	0.5556	-0.028071	12.8474	-0.99658	5	0.83806	0.026226
MCF7	PD184352	4.0474	0.35121	0.31822	33.6513	-0.65079	0.39358	0.96777	0.0010389
MCF7	PF431396	0.12218	-0.27883	0.80658	0.2525	-0.31264	0.66904	0.96928	0.00094364
MCF7	PF477736	0.072416	0.051863	0.70135	0.16406	-0.15941	0.33839	0.9811	0.00035703
MCF7	PF562271	0.44095	-0.30894	0.64499	1.5212	-0.67406	0.68932	0.99923	5.8874e-07
MCF7	PHA-665752	Inf	0.69779	0.010218	4.2147	0.69377	4.9998	0.88879	0.012368
MCF7	PHA-793887	-Inf	-0.32739	0.98894	0.64065	-1	0.18451	0.92978	0.0049305
MCF7	PI103	0.085657	-0.14437	0.87129	0.10317	-0.12043	1.1603	0.9965	1.2242e-05
MCF7	PIK-93	3.0835	0.082176	0.20208	3.0165	0.024743	2.3085	0.99105	8.0191e-05
MCF7	PLX-4720	9.9949	0.49989	0.078824	4.5449	0.46721	3.457	0.9766	0.00054776
MCF7	Palbociclib	0.25956	0.29624	0.54823	0.079167	0.26144	0.6232	0.99829	2.9298e-06
MCF7	Pelitinib	2.4557	-0.16575	0.29266	4.1707	-0.52265	1.3509	0.99616	1.4783e-05
MCF7	QL-X-138	0.059287	-0.097017	0.73129	7.1224	-1	0.22942	0.96503	0.0012232
MCF7	QL-XII-47	0.067914	-0.17515	0.90555	0.09634	-0.18604	0.90469	0.98579	0.00020192
MCF7	R406	6.1864	0.27838	0.16672	17.7881	-1	1.0402	0.98004	0.00039842
MCF7	Radicicol	0.051642	-0.090206	0.82631	0.049413	0.022584	1.0476	0.90075	0.0098515
MCF7	Rapamycin	-Inf	0.45957	0.50588	0	0.49218	0.01	-2.2204e-16	1
MCF7	Ruxolitinib	Inf	0.78894	0.021838	0	0.96189	0.01	-4.4553e-11	0.056319
MCF7	SB590885	9.6217	0.42379	0.042653	11.98	-0.99619	5	0.94411	0.0031236
MCF7	SU11274	5.2158	0.099497	0.15293	11.6875	-0.99999	1.3616	0.97283	0.00073809
MCF7	Saracatinib	0.24463	0.22036	0.56716	0.14148	0.23081	1.1308	0.99476	2.7504e-05
MCF7	Selumetinib	Inf	0.51885	0.38653	0.078425	0.53495	1.4966	0.98504	0.00022373
MCF7	Sigma A6730	1.1834	0.01724	0.44251	17.2122	-1	0.41035	0.89887	0.010228
MCF7	Sorafenib	6.8868	0.24083	0.16362	13.7648	-1	1.5864	0.9464	0.002873
MCF7	TG 101348	1.3827	-0.26388	0.4195	2.5263	-0.51534	1.1754	0.99849	2.2752e-06
MCF7	TGX221	Inf	0.77712	0.11976	0	0.8706	0.01	0	0.99855
MCF7	TWS119	3.8945	-0.16189	0.19246	4.5639	-0.28596	2.8514	0.99672	1.073e-05
MCF7	Torin1	-Inf	-0.064574	0.94713	0.083322	-0.72228	0.10014	0.9936	4.1011e-05
MCF7	Torin2	-Inf	-0.10836	1.0362	0	-0.039204	0.01	-3.0942e-12	0.90063
MCF7	Tozasertib	-Inf	0.04057	0.93216	0	0.065676	0.01	0	1
MCF7	Trametinib	-Inf	0.42518	0.61374	0	0.38778	0.01	-7.0388e-14	1
MCF7	Vemurafenib	Inf	0.8742	0.0026193	12.8292	0.53373	3.992	0.88754	0.012647
MCF7	WH-4-025	0.3178	-0.087034	0.62074	0.36929	-0.074672	0.9269	0.96509	0.0012187
MCF7	WYE-125132	-Inf	0.012991	0.87631	0	0.11781	0.01	-6.9065e-12	0.13753
MCF7	WZ-4-145	0.43411	-0.25475	0.58937	5.8028	-1	0.42372	0.90944	0.0082015
MCF7	WZ3105	-Inf	-0.29557	1.2821	0	-0.28587	0.01	-3.4748e-12	1
MCF7	Withaferin A	0.28661	-0.18271	0.68575	0.31961	-0.11937	1.9644	0.97878	0.00045037
MCF7	XL147	10.8335	0.63346	-0.01605	13.4034	-0.94947	5	0.85197	0.021912
MCF7	XMD11-50	0.63427	0.035649	0.51458	0.92037	-0.14607	0.68844	0.99704	8.7424e-06
MCF7	XMD11-85h	Inf	0.30792	0.24036	0	0.72142	0.01	-2.2204e-16	0.13644
MCF7	XMD16-144	-Inf	-0.2637	0.88212	0	0.091922	0.01	-4.4409e-16	0.28861
MCF7	Y39983	4.1472	-0.22246	0.19963	7.7554	-1	1.7551	0.99574	1.8175e-05
MCF7	YM 201636	2.0407	0.00082053	0.32857	3.8284	-0.39456	0.92459	0.9854	0.00021319
MCF7	ZSTK474	0.080666	-0.0079193	0.81261	0.082024	-0.0093393	1.1089	0.99962	1.4304e-07
MDA-MB-231	(R)- Roscovitine	8.3293	0.41149	0.13417	23.5842	-1	1.0555	0.97138	0.00081918
MDA-MB-231	A443654	0.071761	-0.35814	0.97613	0.13012	-0.34979	0.89123	0.9895	0.00011024
MDA-MB-231	AT-7519	0.077519	-0.38695	1.0642	0.11552	-0.37145	1.3925	0.99767	5.422e-06
MDA-MB-231	AZD 5438	0.19521	-0.31172	0.80899	0.34159	-0.35894	0.967	0.99942	3.3808e-07
MDA-MB-231	AZD-6482	9.3925	0.48045	0.2211	114.426	-0.99997	0.43943	0.99317	4.6689e-05
MDA-MB-231	AZD7762	0.09949	-0.2926	0.90321	0.20437	-0.37217	0.77286	0.99033	9.3556e-05
MDA-MB-231	AZD8055	0.020313	-0.048435	0.7676	9.3784	-0.99999	0.17907	0.93072	0.0047998
MDA-MB-231	AZD8330	-Inf	0.083439	0.92525	0	0.077888	0.01	-2.2204e-16	1
MDA-MB-231	Afatinib	2.0622	-0.21087	0.37471	7.9318	-1	0.81554	0.90514	0.0089992
MDA-MB-231	BEZ235	0.024795	0.22006	0.74869	0.01573	0.22345	1.3014	0.85476	0.021095
MDA-MB-231	BI-2536	-Inf	-0.051638	0.9961	0	-0.00017052	0.01	-3.7526e-14	1
MDA-MB-231	BMS-387032	0.034343	-0.2084	1.1679	0.03794	-0.22442	3.7222	0.99516	2.3431e-05
MDA-MB-231	BMS345541	1.9025	-0.2545	0.37294	5.9035	-0.99999	0.97015	0.99929	5.0012e-07
MDA-MB-231	BX-912	0.89218	-0.027613	0.46662	1.2795	-0.1868	0.88033	0.99464	2.8693e-05
MDA-MB-231	BYL719	16.9715	0.66056	0.077964	53.1404	-0.99953	0.96224	0.98422	0.0002489
MDA-MB-231	Barasertib	-Inf	0.10556	0.86123	0	0.14123	0.01	0	0.66731
MDA-MB-231	Brivanib	Inf	0.6781	0.10658	0	0.87755	0.01	-2.2204e-16	0.13566
MDA-MB-231	Buparlisib	1.1939	-0.2597	0.43641	1.9633	-0.41885	1.2234	0.99565	1.8904e-05
MDA-MB-231	CGP60474	0.028629	-0.3177	1.1949	0.038509	-0.30368	1.6009	0.99273	5.2853e-05
MDA-MB-231	CHIR-99021	Inf	0.75957	0.16899	0	0.83077	0.01	-4.6076e-11	0.11213
MDA-MB-231	CP466722	12.1507	0.56916	0.092945	31.8513	-1	1.14	0.88692	0.012788
MDA-MB-231	CP724714	Inf	0.83067	0.10581	0	0.89033	0.01	-3.5971e-14	0.083285
MDA-MB-231	CYT387	1.1918	-0.10975	0.45164	8.8763	-1	0.54713	0.96801	0.0010237
MDA-MB-231	Canertinib	3.3688	-0.2531	0.27224	7.2713	-1	1.4279	0.9832	0.0002821
MDA-MB-231	Celastrol	0.61055	-0.35425	0.56875	0.77665	-0.29049	1.9035	0.9847	0.00023404
MDA-MB-231	Crizotinib	1.1928	-0.021601	0.43617	2.3836	-0.36848	0.79748	0.9795	0.00042018
MDA-MB-231	Dasatinib	0.017735	-0.24972	1.1574	0.024191	-0.24036	1.2644	0.99886	1.2887e-06
MDA-MB-231	Dovitinib	0.69908	0.22529	0.44753	0.37338	0.22074	0.92876	0.97698	0.00052992
MDA-MB-231	Enzastaurin	Inf	1.0047	-0.0057978	0	1	0.01	-0.36888	0.99979
MDA-MB-231	Erlotinib	12.4049	0.65244	0.078146	19.8064	-0.88695	2.1804	0.80054	0.039783
MDA-MB-231	Flavopiridol	0.028199	-0.29197	1.2235	0.033462	-0.28283	2.6198	0.99916	7.0537e-07
MDA-MB-231	Foretinib	0.16282	-0.21534	0.74332	0.17987	-0.07135	1.3391	0.94359	0.0031817
MDA-MB-231	GDC-0941	5.7905	0.37329	0.31543	301.3357	-1	0.27799	0.86986	0.016936
MDA-MB-231	GDC-0980	0.23239	0.1466	0.59784	0.18497	0.057481	0.53505	0.99624	1.4153e-05
MDA-MB-231	GSK 690693	Inf	0.86721	0.073327	0	0.91738	0.01	-6.1835e-11	1
MDA-MB-231	GSK1059615	1.2766	0.0030288	0.3713	1.2963	-0.013418	1.731	0.99767	5.4134e-06
MDA-MB-231	GSK1904529A	Inf	0.9368	0.097999	0	0.8982	0.01	-2.0339e-13	1
MDA-MB-231	GSK2126458	0.033543	-0.17152	0.93165	0.059222	-0.21155	0.62068	0.99927	5.3988e-07
MDA-MB-231	GW843682	0.26717	-0.039837	0.66966	0.28308	-0.041017	1.363	0.99106	8.001e-05
MDA-MB-231	Gefitinib	Inf	0.8983	-0.0096469	0	0.99998	0.01	-0.0085072	0.11005
MDA-MB-231	Geldanamycin	0.029912	-0.28043	1.0057	0.04751	-0.22221	0.79472	0.9301	0.0048866
MDA-MB-231	HG-5-113-01	0.77094	-0.061728	0.48725	0.93697	-0.12227	1.1217	0.9979	4.3897e-06
MDA-MB-231	HG-5-88-01	Inf	0.46288	0.2167	0	0.75807	0.01	0	0.14373
MDA-MB-231	HG-6-64-01	0.71534	-0.33002	0.54917	1.9566	-0.64184	0.82069	0.98724	0.00016282
MDA-MB-231	Imatinib	19.5294	0.91427	0.0035034	14.4542	0.38677	4.9354	0.9373	0.0039313
MDA-MB-231	JNK-9L	0.28183	-0.18028	0.70852	0.44011	-0.26779	0.96231	0.9864	0.00018487
MDA-MB-231	JW-7-24-1	2.1376	-0.1186	0.3625	9.8305	-1	0.72002	0.89432	0.011168
MDA-MB-231	KIN001-043	Inf	0.23599	0.2179	0	0.74809	0.01	0	0.065384
MDA-MB-231	LDN-193189	1.7079	-0.34588	0.40251	2.5232	-0.47639	1.7148	0.99648	1.2378e-05
MDA-MB-231	Lapatinib	Inf	0.61768	0.092286	0	0.88119	0.01	-2.2204e-16	0.061917
MDA-MB-231	Linifanib	8.7845	0.22094	0.013294	10.943	-0.99996	5	0.9548	0.002043
MDA-MB-231	Linsitinib	Inf	0.71192	0.16158	0	0.8244	0.01	-8.5782e-12	0.68569
MDA-MB-231	MK2206	9.6715	0.4512	0.19668	80.4245	-1	0.51867	0.91801	0.0067228
MDA-MB-231	Mitoxantrone	-Inf	-0.44879	1.1989	0.035292	-1	0.1488	0.93251	0.0045542
MDA-MB-231	NU7441	4.3667	0.15885	0.22267	14.2289	-1	0.93003	0.99388	3.7471e-05
MDA-MB-231	NVP-AEW541	8.0122	0.20853	0.097672	11.0898	-0.88595	3.1365	0.99582	1.7484e-05
MDA-MB-231	NVP-AUY922	-Inf	-0.12397	1.0891	0	-0.091367	0.01	0	1
MDA-MB-231	NVP-TAE684	0.76875	-0.21792	0.5395	4.7863	-0.99993	0.60073	0.99329	4.5085e-05
MDA-MB-231	Neratinib	2.141	0.14621	0.35859	13.5083	-0.84848	0.5386	0.99709	8.4582e-06
MDA-MB-231	Nilotinib	5.7148	-0.0019592	0.20915	10.0789	-1	1.9363	0.93421	0.0043289
MDA-MB-231	Nintedanib	7.9065	0.34621	0.091919	15.8275	-0.99938	1.5823	0.97413	0.00066903
MDA-MB-231	OSI-027	4.1081	0.28248	0.26586	18.6775	-0.74665	0.6033	0.9769	0.00053352
MDA-MB-231	PD0325901	0.077722	-0.09132	0.80372	0.14227	-0.20135	0.55973	0.99722	7.7223e-06
MDA-MB-231	PD173074	8.1895	0.049153	0.035899	10.2018	-0.99997	5	0.97273	0.00074378
MDA-MB-231	PD184352	2.7647	0.17666	0.32633	21.2989	-1	0.53808	0.9789	0.00044524
MDA-MB-231	PF431396	0.42723	-0.19902	0.60903	0.87159	-0.34812	0.74111	0.98519	0.00021934
MDA-MB-231	PF477736	1.5754	-0.019605	0.39835	7.3475	-0.84837	0.64424	0.99513	2.3682e-05
MDA-MB-231	PF562271	1.194	-0.19731	0.46508	5.7789	-1	0.69669	0.99095	8.1929e-05
MDA-MB-231	PHA-665752	6.0035	-0.31659	0.13709	7.5357	-0.74111	3.9997	0.99923	5.9489e-07
MDA-MB-231	PHA-793887	0.0079555	-0.26517	0.97965	0.10665	-0.5778	0.2959	0.98929	0.00011471
MDA-MB-231	PI103	0.36485	0.086551	0.56732	0.5601	-0.11047	0.46571	0.97123	0.00082758
MDA-MB-231	PIK-93	6.7338	0.27071	0.12953	15.093	-0.99994	1.3612	0.99702	8.8704e-06
MDA-MB-231	PLX-4720	Inf	0.66401	0.078405	5.3805	0.51705	1.3251	0.99316	4.6785e-05
MDA-MB-231	Palbociclib	0.32471	0.27688	0.5401	0.12419	0.15667	0.39111	0.99673	1.0667e-05
MDA-MB-231	Pelitinib	2.2803	-0.14433	0.30964	4.0736	-0.52245	1.2329	0.99467	2.8397e-05
MDA-MB-231	QL-X-138	2.0617	-0.14134	0.37358	8.8324	-1	0.75513	0.92069	0.0062901
MDA-MB-231	QL-XII-47	0.1457	-0.12999	0.7423	0.38195	-0.33565	0.53291	0.99626	1.3987e-05
MDA-MB-231	R406	4.809	0.19759	0.21108	15.935	-1	0.91701	0.99423	3.3252e-05
MDA-MB-231	Radicicol	0.23753	-0.034369	0.67143	0.24031	-0.010978	1.8621	0.98902	0.00012047
MDA-MB-231	Rapamycin	Inf	0.78856	0.20373	0	0.79751	0.01	-2.5122e-12	1
MDA-MB-231	Ruxolitinib	15.2191	0.68353	0.081642	33.3073	-1	1.4027	0.78324	0.046984
MDA-MB-231	SB590885	4.5999	-0.19698	0.22772	8.214	-1	1.8948	0.97561	0.00059479
MDA-MB-231	SU11274	6.3896	0.094275	0.12236	10.9893	-0.99993	2.026	0.99236	5.842e-05
MDA-MB-231	Saracatinib	1.1024	0.34026	0.42665	0.20808	0.32867	0.64237	0.9587	0.0017058
MDA-MB-231	Selumetinib	0.72572	0.19395	0.48445	0.7006	0.0087471	0.501	0.98444	0.00024219
MDA-MB-231	Sigma A6730	Inf	0.57319	0.14312	0	0.8352	0.01	-1.0858e-11	0.11352
