cell_line	small_molecule	concentration	cell_count	cell_count__ctrl	cell_count__time0	GRvalue
Hs 578T	PF431396	1.11	1297.6667	3439.3333	784	0.26646
Hs 578T	PF431396	3.33	1120	3439.3333	784	0.18199
Hs 578T	PF431396	10	644	3439.3333	784	-0.08809
Hs 578T	PF477736	0.04	3263.6667	3439.3333	784	0.95145
Hs 578T	PF477736	0.12	2144.6667	3439.3333	784	0.60279
Hs 578T	PF477736	0.37	977.6667	3439.3333	784	0.10903
Hs 578T	PF477736	1.11	768.6667	3439.3333	784	-0.0092164
Hs 578T	PF477736	3.33	739.3333	3439.3333	784	-0.027124
Hs 578T	PF477736	10	643.6667	3439.3333	784	-0.088311
Hs 578T	PF562271	0.04	3012	3359.3333	784	0.89868
Hs 578T	PF562271	0.12	2742.6667	3359.3333	784	0.81582
Hs 578T	PF562271	0.37	2500.3333	3359.3333	784	0.73754
Hs 578T	PF562271	1.11	2165.3333	3359.3333	784	0.62246
Hs 578T	PF562271	3.33	1668.3333	3359.3333	784	0.43295
Hs 578T	PF562271	10	649	3359.3333	784	-0.086088
Hs 578T	PHA-665752	0.04	3447	3439.3333	784	1.0021
Hs 578T	PHA-665752	0.12	3445.6667	3439.3333	784	1.0017
Hs 578T	PHA-665752	0.37	3447.6667	3439.3333	784	1.0023
Hs 578T	PHA-665752	1.11	3273.3333	3439.3333	784	0.95415
Hs 578T	PHA-665752	3.33	3267.6667	3439.3333	784	0.95257
Hs 578T	PHA-665752	10	807.3333	3439.3333	784	0.013843
Hs 578T	PHA-793887	0.04	1821	3359.3333	784	0.49398
Hs 578T	PHA-793887	0.12	1639.3333	3359.3333	784	0.42103
Hs 578T	PHA-793887	0.37	1199	3359.3333	784	0.22431
Hs 578T	PHA-793887	1.11	870.6667	3359.3333	784	0.051215
Hs 578T	PHA-793887	3.33	736.6667	3359.3333	784	-0.029229
Hs 578T	PHA-793887	10	563.3333	3359.3333	784	-0.14568
Hs 578T	PI103	0.04	2305.6667	3359.3333	784	0.67173
Hs 578T	PI103	0.12	1595.3333	3359.3333	784	0.40273
Hs 578T	PI103	0.37	1275.3333	3359.3333	784	0.26084
Hs 578T	PI103	1.11	1125	3359.3333	784	0.18771
Hs 578T	PI103	3.33	1074.6667	3359.3333	784	0.16209
Hs 578T	PI103	10	962	3359.3333	784	0.10237
Hs 578T	PIK-93	0.04	3490.6667	3439.3333	784	1.0139
Hs 578T	PIK-93	0.12	3465.3333	3439.3333	784	1.0071
Hs 578T	PIK-93	0.37	3364	3439.3333	784	0.97934
Hs 578T	PIK-93	1.11	3125.6667	3439.3333	784	0.91232
Hs 578T	PIK-93	3.33	2136.6667	3439.3333	784	0.59998
Hs 578T	PIK-93	10	1118.3333	3439.3333	784	0.18117
Hs 578T	PLX-4720	0.04	3544	3439.3333	784	1.0283
Hs 578T	PLX-4720	0.12	3750.3333	3439.3333	784	1.0828
Hs 578T	PLX-4720	0.37	3851.3333	3439.3333	784	1.1089
Hs 578T	PLX-4720	1.11	3805.6667	3439.3333	784	1.0972
Hs 578T	PLX-4720	3.33	3533	3439.3333	784	1.0254
Hs 578T	PLX-4720	10	2668.3333	3439.3333	784	0.77564
Hs 578T	Palbociclib	0.04	2315.3333	3359.3333	784	0.67506
Hs 578T	Palbociclib	0.12	2011.6667	3359.3333	784	0.56656
Hs 578T	Palbociclib	0.37	1788.6667	3359.3333	784	0.48129
Hs 578T	Palbociclib	1.11	1614	3359.3333	784	0.41052
Hs 578T	Palbociclib	3.33	1576	3359.3333	784	0.39461
Hs 578T	Palbociclib	10	1411.6667	3359.3333	784	0.32334
Hs 578T	Pelitinib	0.04	3413.3333	3439.3333	784	0.9929
Hs 578T	Pelitinib	0.12	3241.6667	3439.3333	784	0.94527
Hs 578T	Pelitinib	0.37	2854.6667	3439.3333	784	0.83272
Hs 578T	Pelitinib	1.11	2712.6667	3439.3333	784	0.78941
Hs 578T	Pelitinib	3.33	2011.6667	3439.3333	784	0.5554
Hs 578T	Pelitinib	10	598	3439.3333	784	-0.11923
Hs 578T	QL-X-138	0.04	2834.3333	3359.3333	784	0.84448
Hs 578T	QL-X-138	0.12	2595	3359.3333	784	0.76857
Hs 578T	QL-X-138	0.37	2213.3333	3359.3333	784	0.6395
Hs 578T	QL-X-138	1.11	1826.6667	3359.3333	784	0.49619
Hs 578T	QL-X-138	3.33	1522.3333	3359.3333	784	0.37178
Hs 578T	QL-X-138	10	708.3333	3359.3333	784	-0.047198
Hs 578T	QL-XII-47	0.04	2951.3333	3359.3333	784	0.88036
Hs 578T	QL-XII-47	0.12	2810.6667	3359.3333	784	0.83713
Hs 578T	QL-XII-47	0.37	2375	3359.3333	784	0.69549
Hs 578T	QL-XII-47	1.11	1660.6667	3359.3333	784	0.42981
Hs 578T	QL-XII-47	3.33	1056	3359.3333	784	0.15243
Hs 578T	QL-XII-47	10	604	3359.3333	784	-0.11684
Hs 578T	R406	0.04	3305.6667	3359.3333	784	0.98472
Hs 578T	R406	0.12	3018	3359.3333	784	0.90048
Hs 578T	R406	0.37	2836	3359.3333	784	0.84499
Hs 578T	R406	1.11	2584	3359.3333	784	0.765
Hs 578T	R406	3.33	2007.3333	3359.3333	784	0.56495
Hs 578T	R406	10	984	3359.3333	784	0.11431
Hs 578T	Radicicol	0.04	3503	3399.3333	784	1.0286
Hs 578T	Radicicol	0.12	3162.6667	3399.3333	784	0.93295
Hs 578T	Radicicol	0.37	2359.1667	3399.3333	784	0.68295
Hs 578T	Radicicol	1.11	1405.3333	3399.3333	784	0.31755
Hs 578T	Radicicol	3.33	950.3333	3399.3333	784	0.095175
Hs 578T	Radicicol	10	876.8333	3399.3333	784	0.054301
Hs 578T	Rapamycin	0.04	2208.6667	3359.3333	784	0.63785
Hs 578T	Rapamycin	0.12	2163	3359.3333	784	0.62163
Hs 578T	Rapamycin	0.37	2169	3359.3333	784	0.62377
Hs 578T	Rapamycin	1.11	2204	3359.3333	784	0.6362
Hs 578T	Rapamycin	3.33	2171.6667	3359.3333	784	0.62472
Hs 578T	Rapamycin	10	2173.6667	3359.3333	784	0.62543
Hs 578T	Ruxolitinib	0.04	3397.3333	3439.3333	784	0.98851
Hs 578T	Ruxolitinib	0.12	3358.3333	3439.3333	784	0.97778
Hs 578T	Ruxolitinib	0.37	3325.3333	3439.3333	784	0.96865
Hs 578T	Ruxolitinib	1.11	3270.6667	3439.3333	784	0.95341
Hs 578T	Ruxolitinib	3.33	3095	3439.3333	784	0.9035
Hs 578T	Ruxolitinib	10	2411	3439.3333	784	0.6932
Hs 578T	SB590885	0.04	4024.3333	3439.3333	784	1.1528
Hs 578T	SB590885	0.12	3915.3333	3439.3333	784	1.1253
Hs 578T	SB590885	0.37	3859.6667	3439.3333	784	1.1111
Hs 578T	SB590885	1.11	3899.6667	3439.3333	784	1.1213
Hs 578T	SB590885	3.33	3899.3333	3439.3333	784	1.1212
Hs 578T	SB590885	10	1398	3439.3333	784	0.31145
Hs 578T	SU11274	0.04	3511	3439.3333	784	1.0194
Hs 578T	SU11274	0.12	3406.6667	3439.3333	784	0.99107
Hs 578T	SU11274	0.37	3255	3439.3333	784	0.94902
Hs 578T	SU11274	1.11	3035.3333	3439.3333	784	0.88621
Hs 578T	SU11274	3.33	2815	3439.3333	784	0.82074
Hs 578T	SU11274	10	1074.3333	3439.3333	784	0.15915
Hs 578T	Saracatinib	0.04	3306.6667	3359.3333	784	0.985
Hs 578T	Saracatinib	0.12	3081	3359.3333	784	0.91928
Hs 578T	Saracatinib	0.37	2790.6667	3359.3333	784	0.83089
Hs 578T	Saracatinib	1.11	2412.6667	3359.3333	784	0.70825
Hs 578T	Saracatinib	3.33	2156	3359.3333	784	0.61913
Hs 578T	Saracatinib	10	1457	3359.3333	784	0.34341
Hs 578T	Selumetinib	0.04	2233.3333	3359.3333	784	0.64654
Hs 578T	Selumetinib	0.12	1946.3333	3359.3333	784	0.54211
Hs 578T	Selumetinib	0.37	1775	3359.3333	784	0.47588
Hs 578T	Selumetinib	1.11	1661.6667	3359.3333	784	0.43022
Hs 578T	Selumetinib	3.33	1515.3333	3359.3333	784	0.36877
Hs 578T	Selumetinib	10	1273	3359.3333	784	0.25974
Hs 578T	Sigma A6730	0.04	3344.6667	3439.3333	784	0.974
Hs 578T	Sigma A6730	0.12	3269.3333	3439.3333	784	0.95303
Hs 578T	Sigma A6730	0.37	3191.3333	3439.3333	784	0.93105
Hs 578T	Sigma A6730	1.11	2931.3333	3439.3333	784	0.85563
Hs 578T	Sigma A6730	3.33	2974.6667	3439.3333	784	0.86844
Hs 578T	Sigma A6730	10	1593.6667	3439.3333	784	0.39451
Hs 578T	Sorafenib	0.04	3782	3359.3333	784	1.1162
Hs 578T	Sorafenib	0.12	3845.6667	3359.3333	784	1.1331
Hs 578T	Sorafenib	0.37	3900	3359.3333	784	1.1474
Hs 578T	Sorafenib	1.11	3946.3333	3359.3333	784	1.1595
Hs 578T	Sorafenib	3.33	3849.6667	3359.3333	784	1.1341
Hs 578T	Sorafenib	10	2880.3333	3359.3333	784	0.85868
Hs 578T	TG 101348	0.04	3469.6667	3439.3333	784	1.0082
Hs 578T	TG 101348	0.12	3375.6667	3439.3333	784	0.98256
Hs 578T	TG 101348	0.37	3012.3333	3439.3333	784	0.8795
Hs 578T	TG 101348	1.11	2260.6667	3439.3333	784	0.64286
Hs 578T	TG 101348	3.33	1284	3439.3333	784	0.26019
Hs 578T	TG 101348	10	538.3333	3439.3333	784	-0.16157
Hs 578T	TGX221	0.04	3171.6667	3439.3333	784	0.92546
Hs 578T	TGX221	0.12	3107.6667	3439.3333	784	0.90715
Hs 578T	TGX221	0.37	3127	3439.3333	784	0.9127
Hs 578T	TGX221	1.11	3059.3333	3439.3333	784	0.89319
Hs 578T	TGX221	3.33	2301	3439.3333	784	0.65654
Hs 578T	TGX221	10	2461.3333	3439.3333	784	0.70968
Hs 578T	TWS119	0.04	3506.6667	3439.3333	784	1.0183
Hs 578T	TWS119	0.12	3383.3333	3439.3333	784	0.98467
Hs 578T	TWS119	0.37	3364.6667	3439.3333	784	0.97953
Hs 578T	TWS119	1.11	3013.3333	3439.3333	784	0.87979
Hs 578T	TWS119	3.33	2416.3333	3439.3333	784	0.69495
Hs 578T	TWS119	10	676.6667	3439.3333	784	-0.06669
Hs 578T	Torin1	0.04	1293.6667	3359.3333	784	0.26944
Hs 578T	Torin1	0.12	1181	3359.3333	784	0.21552
Hs 578T	Torin1	0.37	1083.3333	3359.3333	784	0.16655
Hs 578T	Torin1	1.11	961.3333	3359.3333	784	0.10201
Hs 578T	Torin1	3.33	864	3359.3333	784	0.047373
Hs 578T	Torin1	10	657.3333	3359.3333	784	-0.080517
Hs 578T	Torin2	0.04	1135.3333	3439.3333	784	0.18955
Hs 578T	Torin2	0.12	960.6667	3439.3333	784	0.09995
Hs 578T	Torin2	0.37	742.3333	3439.3333	784	-0.025275
Hs 578T	Torin2	1.11	726	3439.3333	784	-0.035389
Hs 578T	Torin2	3.33	674.3333	3439.3333	784	-0.068201
Hs 578T	Torin2	10	597.6667	3439.3333	784	-0.11946
Hs 578T	Tozasertib	0.04	1006.3333	3439.3333	784	0.12416
Hs 578T	Tozasertib	0.12	926.6667	3439.3333	784	0.081526
Hs 578T	Tozasertib	0.37	981	3439.3333	784	0.1108
Hs 578T	Tozasertib	1.11	917	3439.3333	784	0.076222
Hs 578T	Tozasertib	3.33	976	3439.3333	784	0.10815
Hs 578T	Tozasertib	10	874.6667	3439.3333	784	0.052639
Hs 578T	Trametinib	0.04	1274	3439.3333	784	0.25558
Hs 578T	Trametinib	0.12	1154.6667	3439.3333	784	0.199
Hs 578T	Trametinib	0.37	1138	3439.3333	784	0.19086
Hs 578T	Trametinib	1.11	1123.6667	3439.3333	784	0.1838
Hs 578T	Trametinib	3.33	1108.3333	3439.3333	784	0.1762
Hs 578T	Trametinib	10	1147.6667	3439.3333	784	0.19559
Hs 578T	Vemurafenib	0.04	3571	3439.3333	784	1.0355
Hs 578T	Vemurafenib	0.12	3548	3439.3333	784	1.0294
Hs 578T	Vemurafenib	0.37	3537.6667	3439.3333	784	1.0266
Hs 578T	Vemurafenib	1.11	3453.3333	3439.3333	784	1.0038
Hs 578T	Vemurafenib	3.33	3005.3333	3439.3333	784	0.87745
Hs 578T	Vemurafenib	10	1970	3439.3333	784	0.54022
Hs 578T	WH-4-025	0.04	3215.6667	3439.3333	784	0.93794
Hs 578T	WH-4-025	0.12	2284	3439.3333	784	0.65079
Hs 578T	WH-4-025	0.37	1561.6667	3439.3333	784	0.38131
Hs 578T	WH-4-025	1.11	730.3333	3439.3333	784	-0.032694
Hs 578T	WH-4-025	3.33	650.3333	3439.3333	784	-0.083897
Hs 578T	WH-4-025	10	343	3439.3333	784	-0.32127
Hs 578T	WYE-125132	0.04	1300	3359.3333	784	0.27239
Hs 578T	WYE-125132	0.12	1178.3333	3359.3333	784	0.21421
Hs 578T	WYE-125132	0.37	1156.3333	3359.3333	784	0.20336
Hs 578T	WYE-125132	1.11	1104.6667	3359.3333	784	0.17744
Hs 578T	WYE-125132	3.33	1111.6667	3359.3333	784	0.18098
Hs 578T	WYE-125132	10	979	3359.3333	784	0.11161
Hs 578T	WZ-4-145	0.04	2330.6667	3359.3333	784	0.68034
Hs 578T	WZ-4-145	0.12	2300	3359.3333	784	0.66977
Hs 578T	WZ-4-145	0.37	2061.3333	3359.3333	784	0.58486
Hs 578T	WZ-4-145	1.11	1829.3333	3359.3333	784	0.49723
Hs 578T	WZ-4-145	3.33	1671	3359.3333	784	0.43404
Hs 578T	WZ-4-145	10	833.6667	3359.3333	784	0.029693
Hs 578T	WZ3105	0.04	608.3333	3439.3333	784	-0.11212
Hs 578T	WZ3105	0.12	581.6667	3439.3333	784	-0.13059
Hs 578T	WZ3105	0.37	599.3333	3439.3333	784	-0.11831
Hs 578T	WZ3105	1.11	591	3439.3333	784	-0.12407
Hs 578T	WZ3105	3.33	573.3333	3439.3333	784	-0.13645
Hs 578T	WZ3105	10	584.3333	3439.3333	784	-0.12872
Hs 578T	Withaferin A	0.04	3440.3333	3399.3333	784	1.0114
Hs 578T	Withaferin A	0.12	3458.3333	3399.3333	784	1.0163
Hs 578T	Withaferin A	0.37	3156.1667	3399.3333	784	0.93107
Hs 578T	Withaferin A	1.11	655.6667	3399.3333	784	-0.080997
Hs 578T	Withaferin A	3.33	653.5	3399.3333	784	-0.082433
Hs 578T	Withaferin A	10	392	3399.3333	784	-0.27929
Hs 578T	XL147	0.04	3451	3439.3333	784	1.0032
Hs 578T	XL147	0.12	3435.6667	3439.3333	784	0.999
Hs 578T	XL147	0.37	3407	3439.3333	784	0.99116
Hs 578T	XL147	1.11	3366.6667	3439.3333	784	0.98008
Hs 578T	XL147	3.33	3254	3439.3333	784	0.94873
Hs 578T	XL147	10	2854.3333	3439.3333	784	0.83262
Hs 578T	XMD11-50	0.04	3210.6667	3359.3333	784	0.95734
Hs 578T	XMD11-50	0.12	3029.6667	3359.3333	784	0.90398
Hs 578T	XMD11-50	0.37	2719	3359.3333	784	0.80834
Hs 578T	XMD11-50	1.11	2261.3333	3359.3333	784	0.65634
Hs 578T	XMD11-50	3.33	1615.6667	3359.3333	784	0.41122
Hs 578T	XMD11-50	10	708.6667	3359.3333	784	-0.046984
Hs 578T	XMD11-85h	0.04	3246.3333	3359.3333	784	0.96767
Hs 578T	XMD11-85h	0.12	3210.3333	3359.3333	784	0.95724
Hs 578T	XMD11-85h	0.37	3102	3359.3333	784	0.9255
Hs 578T	XMD11-85h	1.11	3071.6667	3359.3333	784	0.9165
Hs 578T	XMD11-85h	3.33	2826.3333	3359.3333	784	0.842
Hs 578T	XMD11-85h	10	1296.6667	3359.3333	784	0.27084
Hs 578T	XMD16-144	0.04	1324.6667	3439.3333	784	0.27874
Hs 578T	XMD16-144	0.12	991	3439.3333	784	0.1161
Hs 578T	XMD16-144	0.37	1007.6667	3439.3333	784	0.12486
Hs 578T	XMD16-144	1.11	948	3439.3333	784	0.093127
Hs 578T	XMD16-144	3.33	763.3333	3439.3333	784	-0.012445
Hs 578T	XMD16-144	10	559	3439.3333	784	-0.14664
Hs 578T	Y39983	0.04	2951.3333	3359.3333	784	0.88036
Hs 578T	Y39983	0.12	2784.3333	3359.3333	784	0.82891
Hs 578T	Y39983	0.37	2708.6667	3359.3333	784	0.80506
Hs 578T	Y39983	1.11	2572.6667	3359.3333	784	0.7613
Hs 578T	Y39983	3.33	2186.3333	3359.3333	784	0.62994
Hs 578T	Y39983	10	839.3333	3359.3333	784	0.033021
Hs 578T	YM 201636	0.04	3495.3333	3439.3333	784	1.0152
Hs 578T	YM 201636	0.12	3379.6667	3439.3333	784	0.98366
Hs 578T	YM 201636	0.37	3333.3333	3439.3333	784	0.97086
Hs 578T	YM 201636	1.11	2947.3333	3439.3333	784	0.86038
Hs 578T	YM 201636	3.33	2329.3333	3439.3333	784	0.66607
Hs 578T	YM 201636	10	1016	3439.3333	784	0.12921
Hs 578T	ZSTK474	0.04	2712.3333	3359.3333	784	0.80622
Hs 578T	ZSTK474	0.12	2284.3333	3359.3333	784	0.66434
Hs 578T	ZSTK474	0.37	1917.6667	3359.3333	784	0.53125
Hs 578T	ZSTK474	1.11	1606.3333	3359.3333	784	0.40733
Hs 578T	ZSTK474	3.33	1351.6667	3359.3333	784	0.29624
Hs 578T	ZSTK474	10	1060.3333	3359.3333	784	0.15468
MCF 10A	(R)- Roscovitine	0.04	10554.6667	10659	1056.3333	0.99411
MCF 10A	(R)- Roscovitine	0.12	10303.3333	10659	1056.3333	0.97975
MCF 10A	(R)- Roscovitine	0.37	9981	10659	1056.3333	0.96097
MCF 10A	(R)- Roscovitine	1.11	9865.6667	10659	1056.3333	0.95415
MCF 10A	(R)- Roscovitine	3.33	9332	10659	1056.3333	0.92183
MCF 10A	(R)- Roscovitine	10	3704.3333	10659	1056.3333	0.45678
MCF 10A	A443654	0.04	8413	10794	1056.3333	0.85674
MCF 10A	A443654	0.12	5937	10794	1056.3333	0.67342
MCF 10A	A443654	0.37	2097	10794	1056.3333	0.22691
MCF 10A	A443654	1.11	1155.6667	10794	1056.3333	0.027166
MCF 10A	A443654	3.33	505	10794	1056.3333	-0.19756
MCF 10A	A443654	10	375.3333	10794	1056.3333	-0.26552
MCF 10A	AT-7519	0.04	10208.6667	10794	1056.3333	0.96702
MCF 10A	AT-7519	0.12	8676.3333	10794	1056.3333	0.87389
MCF 10A	AT-7519	0.37	2682.3333	10794	1056.3333	0.32038
MCF 10A	AT-7519	1.11	585.6667	10794	1056.3333	-0.1613
MCF 10A	AT-7519	3.33	391	10794	1056.3333	-0.25651
MCF 10A	AT-7519	10	310	10794	1056.3333	-0.30624
MCF 10A	AZD 5438	0.04	9992.6667	10794	1056.3333	0.95451
MCF 10A	AZD 5438	0.12	7407	10794	1056.3333	0.78755
MCF 10A	AZD 5438	0.37	3529.3333	10794	1056.3333	0.43298
MCF 10A	AZD 5438	1.11	988.6667	10794	1056.3333	-0.01955
MCF 10A	AZD 5438	3.33	492.3333	10794	1056.3333	-0.20361
MCF 10A	AZD 5438	10	494.3333	10794	1056.3333	-0.20265
MCF 10A	AZD-6482	0.04	10500	10659	1056.3333	0.99101
MCF 10A	AZD-6482	0.12	9736.3333	10659	1056.3333	0.94643
MCF 10A	AZD-6482	0.37	9492.6667	10659	1056.3333	0.9317
MCF 10A	AZD-6482	1.11	8753.6667	10659	1056.3333	0.88532
MCF 10A	AZD-6482	3.33	8042.6667	10659	1056.3333	0.83803
MCF 10A	AZD-6482	10	3235.3333	10659	1056.3333	0.39883
MCF 10A	AZD7762	0.04	8684.3333	10794	1056.3333	0.8744
MCF 10A	AZD7762	0.12	6839	10794	1056.3333	0.74551
MCF 10A	AZD7762	0.37	5578.3333	10794	1056.3333	0.64261
MCF 10A	AZD7762	1.11	3512.3333	10794	1056.3333	0.43092
MCF 10A	AZD7762	3.33	1895.3333	10794	1056.3333	0.19046
MCF 10A	AZD7762	10	535	10794	1056.3333	-0.18363
MCF 10A	AZD8055	0.04	4054.3333	10794	1056.3333	0.49349
MCF 10A	AZD8055	0.12	2549.3333	10794	1056.3333	0.3005
MCF 10A	AZD8055	0.37	1973.6667	10794	1056.3333	0.20493
MCF 10A	AZD8055	1.11	1791.6667	10794	1056.3333	0.17066
MCF 10A	AZD8055	3.33	1654.6667	10794	1056.3333	0.14322
MCF 10A	AZD8055	10	1090.3333	10794	1056.3333	0.0094927
MCF 10A	AZD8330	0.04	1539.3333	10659	1056.3333	0.11953
MCF 10A	AZD8330	0.12	1533.6667	10659	1056.3333	0.11829
MCF 10A	AZD8330	0.37	1565.6667	10659	1056.3333	0.12524
MCF 10A	AZD8330	1.11	1633.6667	10659	1056.3333	0.13968
MCF 10A	AZD8330	3.33	1690.3333	10659	1056.3333	0.15139
MCF 10A	AZD8330	10	1724	10659	1056.3333	0.15822
MCF 10A	Afatinib	0.04	1263.3333	10794	1056.3333	0.054818
MCF 10A	Afatinib	0.12	1201	10794	1056.3333	0.03902
MCF 10A	Afatinib	0.37	1198.3333	10794	1056.3333	0.038332
MCF 10A	Afatinib	1.11	1253.3333	10794	1056.3333	0.052321
MCF 10A	Afatinib	3.33	1292	10794	1056.3333	0.061901
MCF 10A	Afatinib	10	1184	10794	1056.3333	0.034612
MCF 10A	BEZ235	0.04	3403.6667	10659	1056.3333	0.42027
MCF 10A	BEZ235	0.12	2383	10659	1056.3333	0.27628
MCF 10A	BEZ235	0.37	1792.6667	10659	1056.3333	0.17186
MCF 10A	BEZ235	1.11	1752.6667	10659	1056.3333	0.16396
MCF 10A	BEZ235	3.33	1779	10659	1056.3333	0.16918
MCF 10A	BEZ235	10	1928.6667	10659	1056.3333	0.19784
MCF 10A	BI-2536	0.04	846.6667	10794	1056.3333	-0.063855
MCF 10A	BI-2536	0.12	935.6667	10794	1056.3333	-0.035529
MCF 10A	BI-2536	0.37	1023.6667	10794	1056.3333	-0.0093246
MCF 10A	BI-2536	1.11	1002.3333	10794	1056.3333	-0.015527
MCF 10A	BI-2536	3.33	961.3333	10794	1056.3333	-0.027713
MCF 10A	BI-2536	10	1027.3333	10794	1056.3333	-0.0082676
MCF 10A	BMS-387032	0.04	9285	10794	1056.3333	0.91217
MCF 10A	BMS-387032	0.12	1262	10794	1056.3333	0.054486
MCF 10A	BMS-387032	0.37	488.3333	10794	1056.3333	-0.20555
MCF 10A	BMS-387032	1.11	363	10794	1056.3333	-0.2728
MCF 10A	BMS-387032	3.33	356.3333	10794	1056.3333	-0.27681
MCF 10A	BMS-387032	10	365.6667	10794	1056.3333	-0.27121
MCF 10A	BMS345541	0.04	10752.3333	10794	1056.3333	0.99769
MCF 10A	BMS345541	0.12	10433.6667	10794	1056.3333	0.97985
MCF 10A	BMS345541	0.37	10352	10794	1056.3333	0.97522
MCF 10A	BMS345541	1.11	10229	10794	1056.3333	0.96819
MCF 10A	BMS345541	3.33	10025.6667	10794	1056.3333	0.95644
MCF 10A	BMS345541	10	8243.3333	10794	1056.3333	0.8455
MCF 10A	BX-912	0.04	9768.6667	10659	1056.3333	0.94837
MCF 10A	BX-912	0.12	9290	10659	1056.3333	0.91924
MCF 10A	BX-912	0.37	5942.6667	10659	1056.3333	0.6786
MCF 10A	BX-912	1.11	1910.3333	10659	1056.3333	0.19442
MCF 10A	BX-912	3.33	1728.3333	10659	1056.3333	0.15909
MCF 10A	BX-912	10	1358.3333	10659	1056.3333	0.078316
MCF 10A	BYL719	0.04	10215	10659	1056.3333	0.97465
MCF 10A	BYL719	0.12	9581	10659	1056.3333	0.93707
MCF 10A	BYL719	0.37	8833.3333	10659	1056.3333	0.89045
MCF 10A	BYL719	1.11	8346.6667	10659	1056.3333	0.85859
MCF 10A	BYL719	3.33	7020	10659	1056.3333	0.76458
MCF 10A	BYL719	10	3614.6667	10659	1056.3333	0.44612
MCF 10A	Barasertib	0.04	1844.6667	10659	1056.3333	0.18195
MCF 10A	Barasertib	0.12	1560.6667	10659	1056.3333	0.12416
MCF 10A	Barasertib	0.37	1559.6667	10659	1056.3333	0.12394
MCF 10A	Barasertib	1.11	1575.6667	10659	1056.3333	0.12739
MCF 10A	Barasertib	3.33	1653.3333	10659	1056.3333	0.14377
MCF 10A	Barasertib	10	1607	10659	1056.3333	0.13407
MCF 10A	Brivanib	0.04	10481.6667	10659	1056.3333	0.98996
MCF 10A	Brivanib	0.12	10215.3333	10659	1056.3333	0.97467
MCF 10A	Brivanib	0.37	10062.6667	10659	1056.3333	0.96577
MCF 10A	Brivanib	1.11	8636.6667	10659	1056.3333	0.87773
MCF 10A	Brivanib	3.33	6599	10659	1056.3333	0.73216
MCF 10A	Brivanib	10	2612.3333	10659	1056.3333	0.31193
MCF 10A	Buparlisib	0.04	10640.3333	10659	1056.3333	0.99895
MCF 10A	Buparlisib	0.12	9804.6667	10659	1056.3333	0.95052
MCF 10A	Buparlisib	0.37	8233.3333	10659	1056.3333	0.85099
MCF 10A	Buparlisib	1.11	4189	10659	1056.3333	0.51149
MCF 10A	Buparlisib	3.33	1189	10659	1056.3333	0.036112
MCF 10A	Buparlisib	10	510.6667	10659	1056.3333	-0.19583
MCF 10A	CGP60474	0.04	3540.6667	10726.5	1056.3333	0.43576
MCF 10A	CGP60474	0.12	475.3333	10726.5	1056.3333	-0.21242
MCF 10A	CGP60474	0.37	427.6667	10726.5	1056.3333	-0.23692
MCF 10A	CGP60474	1.11	407.3333	10726.5	1056.3333	-0.24796
MCF 10A	CGP60474	3.33	404.1667	10726.5	1056.3333	-0.24971
MCF 10A	CGP60474	10	411.5	10726.5	1056.3333	-0.24567
MCF 10A	CHIR-99021	0.04	10996.6667	10794	1056.3333	1.0111
MCF 10A	CHIR-99021	0.12	10827	10794	1056.3333	1.0018
MCF 10A	CHIR-99021	0.37	10647	10794	1056.3333	0.99184
MCF 10A	CHIR-99021	1.11	9822.6667	10794	1056.3333	0.94454
MCF 10A	CHIR-99021	3.33	8981	10794	1056.3333	0.89328
MCF 10A	CHIR-99021	10	7522.6667	10794	1056.3333	0.79583
MCF 10A	CP466722	0.04	10986.6667	10659	1056.3333	1.0182
MCF 10A	CP466722	0.12	10940.3333	10659	1056.3333	1.0157
MCF 10A	CP466722	0.37	10810.6667	10659	1056.3333	1.0085
MCF 10A	CP466722	1.11	10531.3333	10659	1056.3333	0.99279
MCF 10A	CP466722	3.33	10123.3333	10659	1056.3333	0.96932
MCF 10A	CP466722	10	6680.6667	10659	1056.3333	0.73856
MCF 10A	CP724714	0.04	10866	10659	1056.3333	1.0116
MCF 10A	CP724714	0.12	10603	10659	1056.3333	0.99684
MCF 10A	CP724714	0.37	10477	10659	1056.3333	0.9897
MCF 10A	CP724714	1.11	10380	10659	1056.3333	0.98416
MCF 10A	CP724714	3.33	10384.3333	10659	1056.3333	0.9844
MCF 10A	CP724714	10	9559.6667	10659	1056.3333	0.93577
MCF 10A	CYT387	0.04	9896	10659	1056.3333	0.95595
MCF 10A	CYT387	0.12	9283.3333	10659	1056.3333	0.91882
MCF 10A	CYT387	0.37	8388.3333	10659	1056.3333	0.86137
MCF 10A	CYT387	1.11	7359.6667	10659	1056.3333	0.78976
MCF 10A	CYT387	3.33	5523	10659	1056.3333	0.64213
MCF 10A	CYT387	10	1833	10659	1056.3333	0.17971
MCF 10A	Canertinib	0.04	6462.3333	10794	1056.3333	0.71627
MCF 10A	Canertinib	0.12	4410.6667	10794	1056.3333	0.53149
MCF 10A	Canertinib	0.37	2836.3333	10794	1056.3333	0.34254
MCF 10A	Canertinib	1.11	1864.3333	10794	1056.3333	0.18462
MCF 10A	Canertinib	3.33	1477	10794	1056.3333	0.10514
MCF 10A	Canertinib	10	182	10794	1056.3333	-0.40812
MCF 10A	Celastrol	0.04	11628.6667	10794	1056.3333	1.0449
